bus slots time
1 1 0.0
1 2 0.0
1 3 0.0
1 4 0.0
2 1 0.0
2 2 0.0
2 3 0.0
2 4 0.0
3 1 0.0
3 2 0.0
3 3 0.0
3 4 0.0
4 1 0.0
4 2 0.0
4 3 0.0
4 4 0.0
5 1 0.0
5 2 0.0
5 3 0.05
5 4 0.4
6 1 0.05
6 2 0.15
6 3 0.25
6 4 0.15
7 1 0.0
7 2 0.3
7 3 0.5
7 4 0.8
8 1 0.15
8 2 1.65
8 3 2.25
8 4 2.65
9 1 1.1
9 2 22.6
9 3 45.75
9 4 55.8
10 1 13.05
10 2 51.3
10 3 954.35
10 4 1709.9
