stepsToSolution,nodesExpanded,time
512,26623,3.001016616821289
162,735,0.06909584999084473
524,28284,2.6110072135925293
152,635,0.03238105773925781
367,17984,1.5703160762786865
749,63602,9.530459880828857
200,3928,0.1091916561126709
999,95797,22.765801429748535
495,28970,3.3883819580078125
451,22508,4.291893482208252
341,17089,1.3420665264129639
792,60401,10.877800464630127
230,8219,0.5487594604492188
342,9190,0.9296004772186279
717,36339,7.779572486877441
470,53344,5.118780612945557
715,55472,12.102999925613403
206,5456,0.3603699207305908
257,19101,0.7557263374328613
590,26180,2.4352240562438965
235,9358,0.5375216007232666
202,7189,0.44879817962646484
443,15494,1.4632644653320312
251,17096,0.7489895820617676
126,5564,0.22072553634643555
98,927,0.016896724700927734
140,5025,0.3043959140777588
528,36023,4.945676803588867
430,47414,6.406804323196411
357,55768,3.655257225036621
95,905,0.0423130989074707
123,1797,0.07851958274841309
386,37293,4.075237989425659
199,3545,0.13805627822875977
634,44234,4.3339924812316895
181,4620,0.25052928924560547
333,20943,1.722792625427246
222,12294,1.2559404373168945
82,1758,0.05904054641723633
522,41203,4.4232001304626465
355,18547,1.7670986652374268
502,19916,2.6810989379882812
262,10880,0.9779198169708252
74,959,0.018506288528442383
259,5058,0.3831915855407715
221,6665,0.376295804977417
557,46151,6.130489826202393
266,16074,0.8452403545379639
320,16802,1.085456371307373
910,130550,24.412952423095703
316,11841,0.6376886367797852
592,38596,7.162307262420654
540,54476,5.406221628189087
543,55557,7.938813209533691
85,1773,0.0451350212097168
198,4353,0.413893461227417
225,7123,0.5829706192016602
409,19908,2.5233097076416016
294,6963,0.7653176784515381
195,11239,0.7183890342712402
458,14233,2.5668416023254395
512,28066,3.532938003540039
389,22822,2.230306386947632
180,6597,0.37848806381225586
471,49486,5.519176244735718
766,107586,26.336576461791992
54,548,0.006659984588623047
215,4922,0.33201003074645996
215,7304,0.8159351348876953
90,1950,0.06995368003845215
467,36193,6.914669990539551
631,97005,17.33883571624756
407,28986,4.156266927719116
115,1893,0.03546714782714844
519,50476,5.693256616592407
96,1044,0.02290511131286621
470,31516,5.316713809967041
855,133357,25.10524868965149
109,3617,0.1269969940185547
327,13632,1.2428038120269775
349,17352,1.3453965187072754
389,37010,4.715183973312378
373,34479,3.0961220264434814
216,10306,0.3958132266998291
352,21766,1.7418761253356934
405,14198,0.7401254177093506
452,29105,3.111927032470703
624,61475,11.1759934425354
575,46750,8.187642335891724
694,46194,4.034087419509888
627,51091,8.762219905853271
259,7197,0.42987751960754395
494,33949,5.807077884674072
340,16766,2.359199047088623
271,10493,0.3125879764556885
514,43474,6.581109285354614
150,3333,0.1559147834777832
303,16074,1.5092508792877197
289,14999,1.1881604194641113
258,9884,0.19254779815673828
563,29602,6.196773052215576
339,19475,2.0018506050109863
490,38860,4.078835725784302
419,14704,1.3677575588226318
584,21310,3.68703556060791
95,1595,0.052532196044921875
498,42923,5.704499959945679
616,62092,12.310592889785767
802,113602,9.804404020309448
510,55567,4.494863986968994
487,52625,7.748503684997559
151,7244,0.2831587791442871
186,3954,0.3066685199737549
310,19406,1.646177053451538
143,3282,0.0875556468963623
732,66881,10.877394437789917
566,51269,12.788375854492188
201,5142,0.22245121002197266
675,62759,11.132204055786133
437,10741,0.4036295413970947
223,5455,0.4476642608642578
460,28995,2.8477416038513184
176,13272,0.4332699775695801
351,21510,2.193490505218506
426,47862,6.361237525939941
117,3533,0.13813185691833496
121,6094,0.3595097064971924
643,44582,7.412750244140625
414,15456,1.7456541061401367
296,19580,1.3221933841705322
215,14787,0.536881685256958
511,26661,2.3670175075531006
656,61402,13.008901834487915
482,39642,5.239929437637329
140,4294,0.14947056770324707
172,5737,0.370760440826416
540,40008,6.836689233779907
114,2146,0.14251399040222168
764,54817,10.66713547706604
239,16444,1.2618300914764404
552,65087,9.77769160270691
48,931,0.018017292022705078
393,22463,2.80263090133667
603,62155,11.379220724105835
638,90651,19.15957474708557
723,54112,7.376943826675415
181,8212,0.41800594329833984
158,4780,0.16613030433654785
196,6665,0.2937307357788086
513,33094,5.553548336029053
59,952,0.016218185424804688
346,21116,1.529674768447876
196,5144,0.2716801166534424
588,59259,11.626521587371826
317,11936,1.0557763576507568
491,36865,6.568665027618408
339,59836,4.724149703979492
644,41046,6.173583745956421
134,1837,0.03200364112854004
631,74529,14.65068006515503
795,70131,19.966490745544434
223,2105,0.1948099136352539
925,43054,6.885793209075928
395,13853,0.7474668025970459
238,16165,0.9401464462280273
561,38305,5.761359214782715
401,38421,2.3554611206054688
385,27374,2.8378989696502686
214,8054,0.5618247985839844
49,243,0.0028929710388183594
46,394,0.005099773406982422
462,36390,4.195872068405151
81,1754,0.07486295700073242
471,47245,4.6013102531433105
441,22235,3.460005044937134
594,79094,16.137163162231445
508,14892,2.3441834449768066
460,25560,3.548970937728882
398,25239,3.1111690998077393
397,9381,0.994999885559082
364,19470,1.6770517826080322
184,5106,0.37624192237854004
384,12679,1.6942682266235352
335,19435,1.7411346435546875
232,9423,0.7535772323608398
269,10838,0.5513734817504883
303,3024,0.28473854064941406
208,4919,0.24438190460205078
696,121358,18.069878578186035
791,42660,5.326493978500366
676,54006,9.302581310272217
500,33118,4.78608250617981
419,26034,4.4565184116363525
620,74986,16.477482080459595
790,102884,30.496887922286987
230,3731,0.27438950538635254
382,28675,2.09822678565979
163,1731,0.0680227279663086
82,646,0.01543569564819336
615,89951,12.684520721435547
231,7226,0.46952366828918457
493,35794,3.494675397872925
229,9517,0.5877087116241455
384,20584,2.2029430866241455
971,36574,5.048655271530151
