stepsToSolution,nodesExpanded,time
40,1103,0.010471105575561523
88,10195,0.3865048885345459
245,62531,3.0937447547912598
231,71715,6.39026403427124
595,165494,13.39605188369751
85,18085,0.909839391708374
497,108523,5.758800029754639
244,72778,6.215878009796143
137,28735,1.6468851566314697
276,50505,1.9828760623931885
576,115495,6.118577003479004
264,74702,4.869757175445557
240,43658,2.1560397148132324
676,259693,19.640336275100708
68,5659,0.13033342361450195
634,208557,20.96100091934204
108,19559,0.6492116451263428
572,190871,14.332414388656616
467,183459,17.797098636627197
535,143848,9.072707176208496
225,65423,4.872574806213379
634,255827,25.56420922279358
536,246098,22.717092037200928
530,218284,23.131246328353882
504,174371,20.121084690093994
429,199863,26.338033199310303
276,64354,3.520026683807373
311,111787,14.785213232040405
775,260820,25.34752869606018
745,242304,23.94564414024353
178,32406,1.852280616760254
229,65355,7.9055891036987305
328,204808,28.18696117401123
502,156081,15.231144666671753
367,99744,9.990282773971558
556,230955,27.025341033935547
764,119890,9.005630016326904
373,143656,17.287210941314697
316,92569,9.925249338150024
759,246841,28.54062509536743
370,110851,9.850047588348389
440,256255,34.93155288696289
459,216370,29.69291925430298
320,174146,27.6133553981781
582,193042,22.680482864379883
168,23892,1.4029912948608398
383,157412,18.24823546409607
55,2588,0.08941054344177246
556,204230,26.43301773071289
540,191010,18.250218391418457
538,172826,18.607701539993286
926,257556,25.159544706344604
151,40426,2.9336349964141846
278,113228,19.13612651824951
73,9007,0.4455568790435791
270,40401,3.1953227519989014
400,141055,17.88004231452942
254,77193,9.938006162643433
276,123047,18.770609378814697
767,239036,22.025398015975952
277,63961,7.6623311042785645
355,104817,10.608384609222412
383,102532,10.163146257400513
296,97768,12.53237271308899
485,182320,23.778274536132812
374,134212,14.879786729812622
235,94840,12.762088298797607
349,105552,11.184600591659546
274,49699,4.372205495834351
591,225478,31.845733642578125
100,15539,1.2535903453826904
72,6680,0.3010122776031494
729,229551,22.863952159881592
495,220299,30.972698211669922
385,53570,3.0771615505218506
66,4264,0.07941222190856934
190,61516,6.452265739440918
621,123857,9.475264310836792
695,247376,30.199484825134277
247,73409,6.499449729919434
363,171278,25.6311354637146
284,229417,32.27129650115967
257,57334,6.556670665740967
108,14198,0.540184497833252
240,71237,6.770268201828003
341,138126,18.917417526245117
411,163439,18.731459856033325
233,30287,1.8451590538024902
362,145313,21.11213731765747
828,248919,22.997936487197876
