size,solutionFound,time
0,1,1.0967254638671875e-05
4,1,0.0003941059112548828
4,1,0.000331878662109375
4,0,0.0009274482727050781
4,1,0.0002918243408203125
4,0,0.0002455711364746094
4,0,0.00011539459228515625
4,0,0.0003674030303955078
4,1,0.0002639293670654297
4,1,0.0002753734588623047
4,1,0.00045228004455566406
4,0,0.00022673606872558594
4,1,0.0002536773681640625
4,1,0.00028586387634277344
4,0,0.0004665851593017578
4,1,0.0003266334533691406
4,1,0.0002741813659667969
4,1,0.0003368854522705078
4,0,0.0003745555877685547
4,0,0.00037288665771484375
4,1,0.0002734661102294922
4,1,0.00025177001953125
4,1,0.0002713203430175781
4,1,0.0002760887145996094
4,1,0.0002620220184326172
4,1,0.0004639625549316406
4,1,0.00032973289489746094
4,0,0.000125885009765625
4,1,0.0004391670227050781
4,1,0.00027370452880859375
4,1,0.0002989768981933594
4,1,0.0002541542053222656
4,0,0.00022530555725097656
4,1,0.0002655982971191406
4,0,0.0008025169372558594
4,0,0.0005137920379638672
4,1,0.0003070831298828125
4,1,0.0003979206085205078
4,0,0.00013589859008789062
4,1,0.00027561187744140625
4,1,0.0003447532653808594
4,0,0.00010132789611816406
4,1,0.00036978721618652344
4,1,0.0002739429473876953
4,0,0.00030922889709472656
4,1,0.00026154518127441406
4,1,0.0002868175506591797
4,1,0.0002732276916503906
4,0,0.0001201629638671875
4,1,0.0002529621124267578
4,0,0.00040602684020996094
4,0,0.00017833709716796875
4,1,0.00034427642822265625
4,1,0.0002677440643310547
4,0,0.0003116130828857422
4,1,0.0007288455963134766
4,1,0.0005211830139160156
4,1,0.0002613067626953125
4,1,0.00025963783264160156
4,1,0.0005123615264892578
4,1,0.0002751350402832031
4,0,0.00019669532775878906
4,1,0.0004055500030517578
4,0,0.00010395050048828125
4,1,0.00026988983154296875
4,0,0.0003857612609863281
4,1,0.0002605915069580078
4,1,0.0002605915069580078
4,1,0.0002682209014892578
4,0,0.00027823448181152344
4,0,0.0002243518829345703
4,0,0.00029754638671875
4,0,0.0004715919494628906
4,0,0.0002071857452392578
4,1,0.00035452842712402344
4,0,0.0001537799835205078
4,0,0.00017309188842773438
4,0,0.00018310546875
4,1,0.00027370452880859375
4,1,0.0003635883331298828
4,1,0.00028395652770996094
4,1,0.00024390220642089844
4,1,0.00024771690368652344
4,0,0.0005104541778564453
4,1,0.00026869773864746094
4,1,0.000247955322265625
4,1,0.0002925395965576172
4,1,0.00035119056701660156
4,1,0.0002474784851074219
4,0,0.0006406307220458984
4,0,0.0001900196075439453
4,0,0.0001900196075439453
4,1,0.0002815723419189453
4,1,0.0003609657287597656
4,1,0.0002918243408203125
4,0,0.00036597251892089844
4,1,0.00032830238342285156
4,0,0.0004849433898925781
4,0,0.0004773139953613281
4,1,0.0002536773681640625
4,0,0.0004532337188720703
4,0,0.0004200935363769531
4,0,0.0005347728729248047
4,1,0.0003142356872558594
4,1,0.00028443336486816406
4,1,0.00030612945556640625
4,0,0.0003905296325683594
4,0,0.0008409023284912109
4,1,0.0002684593200683594
4,1,0.00026416778564453125
4,1,0.00036597251892089844
4,1,0.0002446174621582031
4,0,9.036064147949219e-05
4,0,0.0003833770751953125
4,1,0.0002448558807373047
4,1,0.00023651123046875
4,1,0.0002541542053222656
4,1,0.00022721290588378906
4,1,0.00023603439331054688
4,0,0.00015807151794433594
4,1,0.0002532005310058594
4,0,0.00038433074951171875
4,0,0.0005133152008056641
4,1,0.00024700164794921875
4,1,0.0004284381866455078
4,0,0.0004305839538574219
4,1,0.000240325927734375
4,1,0.00023698806762695312
4,0,0.00019550323486328125
4,0,0.00023889541625976562
4,0,9.512901306152344e-05
4,1,0.0004868507385253906
4,1,0.00025272369384765625
4,0,0.0008642673492431641
4,1,0.00025153160095214844
4,0,0.0010533332824707031
4,1,0.0002834796905517578
4,1,0.00029468536376953125
4,0,0.0001888275146484375
4,1,0.00027823448181152344
4,0,0.0002827644348144531
4,0,0.0003833770751953125
4,0,0.0001289844512939453
4,0,0.00022411346435546875
4,0,0.000179290771484375
4,0,0.0002129077911376953
4,1,0.0002772808074951172
4,1,0.000274658203125
4,0,0.00016570091247558594
4,0,0.00013637542724609375
4,1,0.00039267539978027344
4,0,7.605552673339844e-05
4,1,0.0002560615539550781
4,0,0.00021791458129882812
4,0,0.00014328956604003906
4,1,0.0002338886260986328
4,0,0.0001823902130126953
4,0,7.748603820800781e-05
4,0,0.0003676414489746094
4,1,0.00023603439331054688
4,0,0.00015997886657714844
4,0,7.724761962890625e-05
4,1,0.00023746490478515625
4,1,0.0004324913024902344
4,1,0.0002574920654296875
4,1,0.00027060508728027344
4,0,0.0003933906555175781
4,1,0.00026798248291015625
4,1,0.0003604888916015625
4,1,0.0002658367156982422
4,0,0.00010919570922851562
4,0,0.00032448768615722656
4,1,0.0002899169921875
4,0,0.00019097328186035156
4,1,0.0003330707550048828
4,0,0.00020551681518554688
4,1,0.0004227161407470703
4,0,0.00011754035949707031
4,1,0.00029540061950683594
4,1,0.0003037452697753906
4,1,0.00034165382385253906
4,0,0.00036454200744628906
4,1,0.00023698806762695312
4,1,0.00031828880310058594
