size,solutionFound,time
4,0,2.3365020751953125e-05
4,0,5.0067901611328125e-05
4,1,4.982948303222656e-05
4,0,6.008148193359375e-05
4,0,3.457069396972656e-05
4,0,4.124641418457031e-05
4,1,8.678436279296875e-05
4,1,0.00011086463928222656
4,1,8.893013000488281e-05
4,1,8.249282836914062e-05
4,1,7.2479248046875e-05
4,0,5.984306335449219e-05
4,1,0.00010919570922851562
4,1,6.628036499023438e-05
4,1,0.00011467933654785156
4,1,8.606910705566406e-05
4,1,8.726119995117188e-05
4,0,5.817413330078125e-05
4,0,4.5299530029296875e-05
4,0,4.7206878662109375e-05
4,1,6.29425048828125e-05
4,1,0.0001437664031982422
4,1,8.678436279296875e-05
4,0,5.7697296142578125e-05
4,1,0.00010442733764648438
4,0,5.7220458984375e-05
4,0,5.936622619628906e-05
4,1,5.555152893066406e-05
4,0,4.172325134277344e-05
4,0,3.8623809814453125e-05
4,0,9.036064147949219e-05
4,1,8.821487426757812e-05
4,1,0.00010514259338378906
4,1,8.082389831542969e-05
4,0,4.458427429199219e-05
4,0,2.0265579223632812e-05
4,1,7.534027099609375e-05
4,1,0.00010371208190917969
4,1,4.076957702636719e-05
4,1,0.00017571449279785156
4,0,3.4809112548828125e-05
4,0,2.5987625122070312e-05
4,1,7.271766662597656e-05
4,1,6.818771362304688e-05
4,1,7.987022399902344e-05
4,1,9.036064147949219e-05
4,1,8.487701416015625e-05
4,0,2.0265579223632812e-05
4,1,8.749961853027344e-05
4,0,4.458427429199219e-05
4,0,5.0067901611328125e-05
4,1,4.9114227294921875e-05
4,1,0.000133514404296875
4,0,6.747245788574219e-05
4,1,7.152557373046875e-05
4,1,8.320808410644531e-05
4,0,3.528594970703125e-05
4,0,3.4809112548828125e-05
4,0,2.2172927856445312e-05
4,1,4.8160552978515625e-05
4,1,9.274482727050781e-05
4,0,3.3855438232421875e-05
4,1,7.62939453125e-05
4,0,5.221366882324219e-05
4,1,0.00011372566223144531
4,1,6.961822509765625e-05
4,0,5.269050598144531e-05
4,1,9.775161743164062e-05
4,0,6.67572021484375e-05
4,0,5.316734313964844e-05
4,0,7.653236389160156e-05
4,0,4.76837158203125e-05
4,0,7.62939453125e-05
4,0,5.14984130859375e-05
4,1,5.269050598144531e-05
4,1,8.988380432128906e-05
4,0,3.695487976074219e-05
4,0,3.457069396972656e-05
4,1,7.176399230957031e-05
4,0,5.269050598144531e-05
4,1,7.486343383789062e-05
4,0,3.695487976074219e-05
4,0,3.600120544433594e-05
4,1,5.364418029785156e-05
4,0,3.337860107421875e-05
4,0,4.76837158203125e-05
4,0,4.38690185546875e-05
4,1,0.00010442733764648438
4,0,3.4809112548828125e-05
4,0,2.2649765014648438e-05
4,1,7.963180541992188e-05
4,1,8.845329284667969e-05
4,1,5.125999450683594e-05
4,1,5.1021575927734375e-05
4,0,8.058547973632812e-05
4,1,9.179115295410156e-05
4,1,9.989738464355469e-05
4,1,7.724761962890625e-05
4,0,5.030632019042969e-05
4,0,4.220008850097656e-05
4,1,5.793571472167969e-05
4,0,5.602836608886719e-05
4,0,5.984306335449219e-05
4,0,4.100799560546875e-05
4,1,6.747245788574219e-05
4,0,3.0040740966796875e-05
4,1,6.127357482910156e-05
4,1,4.744529724121094e-05
4,1,6.818771362304688e-05
4,0,4.601478576660156e-05
4,1,6.747245788574219e-05
4,1,8.273124694824219e-05
4,1,6.246566772460938e-05
4,0,4.4345855712890625e-05
4,1,8.559226989746094e-05
4,0,3.218650817871094e-05
4,0,4.57763671875e-05
4,1,8.940696716308594e-05
4,1,3.695487976074219e-05
4,0,4.744529724121094e-05
4,0,4.792213439941406e-05
4,1,6.67572021484375e-05
4,0,4.76837158203125e-05
4,0,3.409385681152344e-05
4,0,2.2411346435546875e-05
4,0,4.553794860839844e-05
4,0,4.2438507080078125e-05
4,1,5.1975250244140625e-05
4,0,3.504753112792969e-05
4,0,3.3855438232421875e-05
4,1,3.981590270996094e-05
4,0,3.528594970703125e-05
4,1,0.0001239776611328125
4,1,0.00010752677917480469
4,1,8.726119995117188e-05
4,1,0.00014019012451171875
4,0,7.724761962890625e-05
4,1,8.821487426757812e-05
4,1,8.487701416015625e-05
4,0,4.38690185546875e-05
4,1,9.894371032714844e-05
4,1,9.417533874511719e-05
4,0,4.887580871582031e-05
4,1,0.00010442733764648438
4,1,0.00014209747314453125
4,0,4.172325134277344e-05
4,1,8.702278137207031e-05
4,0,4.410743713378906e-05
4,0,6.031990051269531e-05
4,0,3.7670135498046875e-05
4,0,5.4836273193359375e-05
4,1,8.487701416015625e-05
4,0,5.555152893066406e-05
4,1,0.0001201629638671875
4,0,3.1948089599609375e-05
4,0,5.435943603515625e-05
4,0,5.435943603515625e-05
4,1,4.744529724121094e-05
4,1,7.081031799316406e-05
4,1,0.0001323223114013672
4,0,6.628036499023438e-05
4,1,5.8650970458984375e-05
4,1,0.00011038780212402344
4,0,5.698204040527344e-05
4,0,3.361701965332031e-05
4,1,8.893013000488281e-05
4,0,6.270408630371094e-05
4,0,5.507469177246094e-05
4,0,6.818771362304688e-05
4,0,4.4345855712890625e-05
4,1,0.00010895729064941406
4,0,4.482269287109375e-05
4,1,0.00012969970703125
4,0,2.7179718017578125e-05
4,0,4.363059997558594e-05
4,0,4.76837158203125e-05
4,1,9.5367431640625e-05
4,1,6.0558319091796875e-05
4,0,7.677078247070312e-05
4,0,3.457069396972656e-05
4,1,6.67572021484375e-05
4,1,8.106231689453125e-05
4,0,5.14984130859375e-05
4,0,3.218650817871094e-05
4,0,5.364418029785156e-05
4,0,4.458427429199219e-05
4,1,5.4836273193359375e-05
4,0,5.435943603515625e-05
4,0,4.982948303222656e-05
4,1,4.6253204345703125e-05
4,0,6.389617919921875e-05
4,0,4.363059997558594e-05
4,1,7.128715515136719e-05
4,1,0.00012254714965820312
4,1,7.200241088867188e-05
4,0,5.412101745605469e-05
4,0,5.4836273193359375e-05
4,1,4.839897155761719e-05
4,0,6.437301635742188e-05
4,1,0.0001430511474609375
